design.opt <- cbind(design1.uniq,opt.weight)

nrow(design.opt)
[1] 594

> design.opt
                  opt.weight
x.hat 9.82 0.50 0.0029970030
x.hat 7.78 0.70 0.0019980020
x.hat 9.30 0.40 0.0019980020
x.hat 9.30 2.28 0.0009990010
x.hat 9.46 0.04 0.0019980020
x.hat 9.00 2.14 0.0009990010
x.hat 7.46 1.12 0.0009990010
x.hat 9.58 0.58 0.0009990010
x.hat 7.84 1.26 0.0009990010
x.hat 7.64 0.72 0.0039960040
x.hat 9.82 0.30 0.0009990010
x.hat 9.56 2.24 0.0009990010
x.hat 9.30 2.02 0.0019980020
x.hat 7.56 1.34 0.0019980020
x.hat 7.92 0.94 0.0019980020
x.hat 9.24 2.52 0.0029970030
x.hat 9.56 0.34 0.0009990010
x.hat 7.48 0.94 0.0039960040
x.hat 7.86 0.78 0.0019980020
x.hat 9.60 0.08 0.0039960040
x.hat 9.46 2.06 0.0029970030
x.hat 7.90 1.20 0.0049950050
x.hat 9.30 0.42 0.0049950050
x.hat 7.64 1.36 0.0009990010
x.hat 9.32 0.06 0.0039960040
x.hat 7.66 1.02 0.0009990010
x.hat 9.46 0.56 0.0029970030
x.hat 9.56 2.30 0.0029970030
x.hat 7.62 0.74 0.0019980020
x.hat 9.14 2.40 0.0009990010
x.hat 7.94 1.10 0.0039960040
x.hat 9.66 0.16 0.0009990010
x.hat 9.24 0.24 0.0039960040
x.hat 9.42 2.04 0.0049950050
x.hat 7.74 1.38 0.0009990010
x.hat 9.74 0.56 0.0009990010
x.hat 9.32 2.50 0.0039960040
x.hat 8.96 2.24 0.0029970030
x.hat 7.88 0.82 0.0039960040
x.hat 9.38 0.48 0.0009990010
x.hat 7.46 1.00 0.0019980020
x.hat 9.40 0.06 0.0009990010
x.hat 9.24 2.04 0.0019980020
x.hat 9.80 0.28 0.0039960040
x.hat 9.04 2.46 0.0009990010
x.hat 9.58 0.46 0.0009990010
x.hat 7.66 1.20 0.0009990010
x.hat 9.08 2.12 0.0009990010
x.hat 9.46 2.40 0.0019980020
x.hat 9.64 0.10 0.0019980020
x.hat 7.60 1.38 0.0019980020
x.hat 9.50 2.06 0.0009990010
x.hat 7.92 0.96 0.0009990010
x.hat 9.16 2.28 0.0009990010
x.hat 7.84 1.30 0.0029970030
x.hat 9.52 0.58 0.0049950050
x.hat 9.18 2.54 0.0019980020
x.hat 7.46 1.08 0.0019980020
x.hat 9.46 0.18 0.0009990010
x.hat 8.90 2.36 0.0019980020
x.hat 7.84 0.78 0.0009990010
x.hat 9.28 2.02 0.0029970030
x.hat 9.84 0.34 0.0019980020
x.hat 9.54 2.34 0.0029970030
x.hat 7.94 1.08 0.0029970030
x.hat 9.50 0.04 0.0009990010
x.hat 7.58 0.80 0.0009990010
x.hat 9.70 0.60 0.0019980020
x.hat 9.00 2.16 0.0019980020
 [ reached getOption("max.print") -- omitted 261 rows ]
> nrow(design.opt)
[1] 594
> sum(design.opt[,3])
[1] 1


design.opt[1:200,]
                  opt.weight
      9.60 0.40 0.0003330003
      9.40 2.00 0.0003330003
      8.00 1.20 0.0003330003
x.hat 7.76 0.78 0.0009990010
x.hat 9.48 0.00 0.0009990010
x.hat 9.08 2.22 0.0009990010
x.hat 7.56 1.18 0.0009990010
x.hat 9.28 0.36 0.0019980020
x.hat 9.56 2.20 0.0009990010
x.hat 9.80 0.36 0.0009990010
x.hat 9.28 2.50 0.0009990010
x.hat 7.84 1.34 0.0009990010
x.hat 9.56 0.60 0.0009990010
x.hat 7.96 0.98 0.0009990010
x.hat 8.96 2.50 0.0009990010
x.hat 7.52 0.90 0.0009990010
x.hat 9.26 2.06 0.0009990010
x.hat 9.28 0.14 0.0009990010
x.hat 7.58 1.40 0.0009990010
x.hat 9.50 2.42 0.0009990010
x.hat 9.68 0.20 0.0009990010
x.hat 9.38 0.52 0.0029970030
x.hat 7.80 1.08 0.0009990010
x.hat 9.80 0.58 0.0009990010
x.hat 8.98 2.30 0.0009990010
x.hat 7.68 0.70 0.0029970030
x.hat 9.42 2.12 0.0009990010
x.hat 7.42 1.12 0.0009990010
x.hat 9.44 0.22 0.0009990010
x.hat 9.04 2.08 0.0009990010
x.hat 9.16 2.54 0.0019980020
x.hat 7.90 0.86 0.0019980020
x.hat 9.86 0.44 0.0009990010
x.hat 7.76 1.30 0.0009990010
x.hat 9.44 2.32 0.0009990010
x.hat 9.48 0.56 0.0029970030
x.hat 9.68 0.10 0.0009990010
x.hat 8.88 2.36 0.0009990010
x.hat 7.56 0.86 0.0009990010
x.hat 9.22 0.24 0.0009990010
x.hat 9.22 2.04 0.0019980020
x.hat 7.50 1.30 0.0019980020
x.hat 7.92 1.12 0.0019980020
x.hat 9.68 0.60 0.0019980020
x.hat 9.26 2.46 0.0009990010
x.hat 9.58 2.14 0.0009990010
x.hat 7.86 0.74 0.0009990010
x.hat 9.52 0.22 0.0009990010
x.hat 7.56 1.02 0.0009990010
x.hat 8.96 2.20 0.0009990010
x.hat 9.30 0.44 0.0019980020
x.hat 9.30 0.04 0.0009990010
x.hat 7.72 1.40 0.0009990010
x.hat 9.38 2.04 0.0009990010
x.hat 9.80 0.26 0.0019980020
x.hat 9.10 2.48 0.0009990010
x.hat 7.90 1.06 0.0009990010
x.hat 9.52 2.40 0.0009990010
x.hat 9.66 0.52 0.0009990010
x.hat 7.60 0.76 0.0019980020
x.hat 9.14 2.10 0.0009990010
x.hat 9.48 0.06 0.0019980020
x.hat 7.48 1.14 0.0019980020
x.hat 9.28 0.40 0.0019980020
x.hat 7.86 1.24 0.0019980020
x.hat 9.56 2.08 0.0009990010
x.hat 9.22 2.36 0.0009990010
x.hat 7.86 0.82 0.0009990010
x.hat 9.80 0.42 0.0009990010
x.hat 7.64 1.40 0.0009990010
x.hat 9.24 0.12 0.0029970030
x.hat 8.94 2.44 0.0029970030
x.hat 9.46 0.54 0.0019980020
x.hat 7.46 0.94 0.0009990010
x.hat 9.40 2.48 0.0009990010
x.hat 9.16 2.04 0.0029970030
x.hat 9.68 0.14 0.0009990010
x.hat 7.82 0.98 0.0009990010
x.hat 9.60 2.22 0.0009990010
x.hat 9.50 0.40 0.0009990010
x.hat 7.88 1.28 0.0009990010
x.hat 9.82 0.56 0.0009990010
x.hat 7.72 0.70 0.0029970030
x.hat 9.08 2.32 0.0009990010
x.hat 7.50 1.26 0.0029970030
x.hat 9.38 2.02 0.0009990010
x.hat 9.26 0.20 0.0019980020
x.hat 9.60 0.06 0.0009990010
x.hat 7.96 1.02 0.0009990010
x.hat 9.36 2.50 0.0009990010
x.hat 8.98 2.18 0.0019980020
x.hat 7.56 0.94 0.0009990010
x.hat 9.56 0.58 0.0039960040
x.hat 9.84 0.28 0.0009990010
x.hat 9.46 2.18 0.0009990010
x.hat 7.70 1.38 0.0019980020
x.hat 9.28 0.32 0.0009990010
x.hat 9.06 2.54 0.0009990010
x.hat 7.90 0.88 0.0019980020
x.hat 9.38 0.02 0.0009990010
x.hat 9.26 2.02 0.0019980020
x.hat 7.64 1.14 0.0019980020
x.hat 7.58 0.74 0.0009990010
x.hat 9.64 0.36 0.0019980020
x.hat 8.92 2.30 0.0039960040
x.hat 9.54 2.32 0.0009990010
x.hat 9.36 0.50 0.0039960040
x.hat 7.92 1.20 0.0009990010
x.hat 9.78 0.58 0.0029970030
x.hat 9.22 2.54 0.0029970030
x.hat 7.54 1.34 0.0019980020
x.hat 9.26 2.20 0.0009990010
x.hat 7.82 0.74 0.0019980020
x.hat 9.58 0.12 0.0009990010
x.hat 7.44 1.02 0.0009990010
x.hat 8.92 2.42 0.0019980020
x.hat 9.44 0.58 0.0009990010
x.hat 9.22 0.18 0.0019980020
x.hat 9.08 2.08 0.0019980020
x.hat 7.72 1.04 0.0009990010
x.hat 9.50 2.08 0.0029970030
x.hat 9.78 0.26 0.0019980020
x.hat 7.70 0.68 0.0009990010
x.hat 9.36 0.06 0.0009990010
x.hat 7.92 1.16 0.0019980020
x.hat 9.38 2.38 0.0009990010
x.hat 9.70 0.56 0.0009990010
x.hat 7.68 1.38 0.0009990010
x.hat 9.32 0.42 0.0009990010
x.hat 9.02 2.50 0.0019980020
x.hat 7.44 1.04 0.0009990010
x.hat 9.04 2.12 0.0029970030
x.hat 7.92 0.90 0.0039960040
x.hat 9.56 2.28 0.0029970030
x.hat 9.72 0.22 0.0009990010
x.hat 9.34 2.00 0.0009990010
x.hat 7.54 0.80 0.0019980020
x.hat 9.30 0.08 0.0009990010
x.hat 7.70 1.26 0.0009990010
x.hat 9.50 0.46 0.0009990010
x.hat 9.22 2.32 0.0009990010
x.hat 9.86 0.46 0.0009990010
x.hat 7.94 0.96 0.0019980020
x.hat 8.90 2.30 0.0009990010
x.hat 7.46 1.22 0.0009990010
x.hat 9.30 2.54 0.0009990010
x.hat 9.26 0.34 0.0039960040
x.hat 9.48 2.06 0.0029970030
x.hat 9.58 0.06 0.0009990010
x.hat 7.72 0.74 0.0009990010
x.hat 9.12 2.04 0.0009990010
x.hat 7.82 1.28 0.0009990010
x.hat 9.64 0.60 0.0029970030
x.hat 7.48 0.90 0.0019980020
x.hat 8.96 2.44 0.0009990010
x.hat 9.46 0.30 0.0009990010
x.hat 9.48 2.38 0.0009990010
x.hat 7.56 1.36 0.0029970030
x.hat 7.94 1.06 0.0039960040
x.hat 9.84 0.38 0.0049950050
x.hat 9.26 2.16 0.0009990010
x.hat 7.84 0.74 0.0029970030
x.hat 9.44 0.04 0.0029970030
x.hat 9.48 0.58 0.0009990010
x.hat 8.94 2.22 0.0009990010
x.hat 7.64 1.00 0.0009990010
x.hat 9.14 2.54 0.0019980020
x.hat 9.22 0.28 0.0009990010
x.hat 9.56 2.16 0.0009990010
x.hat 9.74 0.18 0.0019980020
x.hat 7.80 1.34 0.0009990010
x.hat 9.74 0.58 0.0019980020
x.hat 9.42 2.46 0.0029970030
x.hat 7.90 0.84 0.0019980020
x.hat 9.24 2.02 0.0019980020
x.hat 9.36 0.46 0.0009990010
x.hat 7.58 0.76 0.0009990010
x.hat 8.92 2.38 0.0009990010
x.hat 9.28 0.08 0.0049950050
x.hat 7.88 1.18 0.0019980020
x.hat 9.66 0.28 0.0009990010
x.hat 9.48 2.08 0.0009990010
x.hat 9.04 2.14 0.0009990010
x.hat 7.52 1.30 0.0049950050
x.hat 9.22 2.50 0.0009990010
x.hat 9.82 0.52 0.0029970030
x.hat 7.72 0.88 0.0009990010
x.hat 9.54 0.08 0.0019980020
x.hat 7.76 1.38 0.0009990010
x.hat 7.96 1.06 0.0009990010
x.hat 9.24 2.26 0.0009990010
x.hat 9.62 0.60 0.0019980020
x.hat 7.46 0.98 0.0019980020
x.hat 9.24 0.22 0.0019980020
x.hat 9.02 2.52 0.0019980020
x.hat 7.76 0.70 0.0049950050
x.hat 9.78 0.22 0.0009990010
x.hat 9.18 2.04 0.0029970030
x.hat 7.70 1.16 0.0009990010
x.hat 9.46 2.42 0.0039960040
> design.opt[201:350,]
                 opt.weight
x.hat 9.42 0.32 0.000999001
x.hat 8.94 2.24 0.000999001
x.hat 9.84 0.50 0.003996004
x.hat 9.44 2.04 0.000999001
x.hat 7.92 0.86 0.001998002
x.hat 9.54 0.06 0.001998002
x.hat 7.52 0.82 0.001998002
x.hat 7.60 1.36 0.000999001
x.hat 9.50 0.58 0.001998002
x.hat 9.12 2.50 0.000999001
x.hat 9.58 2.24 0.001998002
x.hat 9.26 0.14 0.000999001
x.hat 7.46 1.14 0.001998002
x.hat 9.10 2.10 0.000999001
x.hat 9.80 0.32 0.000999001
x.hat 9.34 0.46 0.002997003
x.hat 9.34 2.46 0.000999001
x.hat 8.90 2.38 0.000999001
x.hat 9.68 0.62 0.001998002
x.hat 7.84 1.22 0.000999001
x.hat 9.64 0.12 0.000999001
x.hat 9.34 2.06 0.000999001
x.hat 7.68 0.92 0.000999001
x.hat 9.26 0.28 0.000999001
x.hat 7.62 1.40 0.001998002
x.hat 9.14 2.30 0.000999001
x.hat 9.58 2.16 0.003996004
x.hat 7.94 0.98 0.002997003
x.hat 9.64 0.40 0.000999001
x.hat 9.38 0.04 0.001998002
x.hat 7.46 1.02 0.000999001
x.hat 9.02 2.14 0.003996004
x.hat 7.64 0.70 0.000999001
x.hat 9.40 0.54 0.001998002
x.hat 9.30 2.52 0.001998002
x.hat 9.86 0.42 0.001998002
x.hat 7.80 1.32 0.001998002
x.hat 9.36 2.04 0.001998002
x.hat 9.44 0.10 0.000999001
x.hat 7.48 1.22 0.002997003
x.hat 8.96 2.46 0.003996004
x.hat 7.92 0.92 0.002997003
x.hat 9.52 2.34 0.002997003
x.hat 9.60 0.60 0.005994006
x.hat 9.74 0.16 0.000999001
x.hat 7.54 0.82 0.001998002
x.hat 9.14 2.06 0.003996004
x.hat 9.24 0.32 0.000999001
x.hat 9.12 2.52 0.000999001
x.hat 9.80 0.54 0.002997003
x.hat 9.38 2.26 0.001998002
x.hat 8.92 2.26 0.000999001
x.hat 7.54 1.22 0.000999001
x.hat 9.50 0.30 0.001998002
x.hat 9.54 2.10 0.003996004
x.hat 9.26 0.10 0.003996004
x.hat 7.72 1.02 0.000999001
x.hat 7.70 1.40 0.000999001
x.hat 9.38 2.48 0.002997003
x.hat 9.22 2.02 0.000999001
x.hat 9.70 0.14 0.002997003
x.hat 7.48 0.92 0.001998002
